Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",120.900000,-140.125000,180.000000,top
"C2","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",102.225000,-141.800000,0.000000,top
"C3","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",109.750000,-149.975000,90.000000,top
"C4","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",104.900000,-148.700000,180.000000,top
"C5","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",102.225000,-139.800000,0.000000,top
"C6","20pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",83.830000,-139.115000,270.000000,top
"C7","20pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",83.820000,-145.265000,90.000000,top
"C8","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",63.350000,-147.825000,270.000000,top
"C9","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",86.875000,-124.200000,0.000000,top
"C10","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",79.125000,-143.000000,0.000000,top
"C11","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",55.700000,-115.275000,90.000000,top
"C12","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",58.200000,-115.275000,90.000000,top
"C13","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",69.900000,-122.775000,270.000000,top
"IC1","PCF8523T_1,118","SOIC127P600X175-8N",74.375000,-148.565000,0.000000,top
"J1","SD_CARD_SOCKET","SD",124.900000,-139.400000,0.000000,top
"J4","USB_B_Micro","USB_Micro-B_Molex-105017-0001",52.807500,-122.890000,270.000000,top
"R1","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",146.375000,-156.400000,0.000000,top
"R2","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",120.150000,-132.625000,0.000000,top
"R3","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",95.250000,-151.450000,270.000000,top
"R4","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",97.250000,-151.450000,270.000000,top
"R5","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",141.775000,-116.500000,0.000000,top
"R6","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",63.350000,-143.275000,270.000000,top
"R7","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",75.000000,-143.000000,0.000000,top
"R8","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",57.800000,-134.450000,0.000000,top
"R9","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",57.800000,-129.750000,0.000000,top
"U1","MCP1703A-3302_SOT23","SOT-23_Handsoldering",106.900000,-153.000000,270.000000,top
"U2","ATmega328P-AU","TQFP-32_7x7mm_P0.8mm",94.500000,-139.800000,0.000000,top
"U3","FT232RL","SSOP-28_5.3x10.2mm_P0.65mm",62.200000,-122.800000,270.000000,top
"Y1","8MHz","Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm",86.850000,-142.190000,270.000000,top
"Y2","32.768kHz","Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering",68.900000,-147.300000,270.000000,top
