"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D1,D2,D3";"LED_D3.0mm_Clear";3;"LED_ALT";;;
2;"Y2";"Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering";1;"32.768kHz";;;
3;"C1,C3,C4";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"1uF";;;
4;"C2,C5,C8,C9,C11,C13";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"0.1uF";;;
5;"C6,C7";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"20pF";;;
6;"C10,C12";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10uF";;;
7;"IC1";"SOIC127P600X175-8N";1;"PCF8523T_1,118";;;
8;"J1";"SD";1;"SD_CARD_SOCKET";;;
9;"J2";"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal";1;"Screw_Terminal_01x02";;;
10;"J3";"TerminalBlock_Phoenix_MPT-0,5-5-2.54_1x05_P2.54mm_Horizontal";1;"Screw_Terminal_01x05";;;
11;"J5";"PinHeader_2x03_P2.54mm_Vertical";1;"ISP Header";;;
12;"J6";"2895";1;"2895";;;
13;"R1,R8,R9";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"1k";;;
14;"R2,R3,R4,R5,R6,R7";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"10k";;;
15;"SW1,SW2";"SW_PUSH_6mm";2;"SW_Push";;;
16;"U2";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328P-AU";;;
17;"REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3_Pad";4;"MountingHole_3.2mm_M3_Pad";;;
18;"J4";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
19;"SW3";"SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm";1;"SW_DIP_x02";;;
20;"U1";"SOT-23_Handsoldering";1;"MCP1703A-3302_SOT23";;;
21;"U3";"SSOP-28_5.3x10.2mm_P0.65mm";1;"FT232RL";;;
22;"Y1";"Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm";1;"8MHz";;;
